country,bag_num,bag_weight,harvest_year,grading_date,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,cat_1_defects,quakers,color,cat_2_defects,expiration,altitude,species,total_quality
Guatemala,250,69,2025,2025-05-19,Washed/Wet,7.75,8.0,7.83,8.0,7.92,7.92,10.0,10.0,10.0,0.11,0,0,Green,2,2026-05-19,1447.8,Arabica,7.903333333333333
Vietnam,5000,1,2025,2025-07-09,Washed/Wet,8.08,8.0,7.83,7.92,7.75,7.83,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-09,1400.0,Arabica,7.901666666666666
Vietnam,200,1,2025,2025-07-09,Natural/Dry,8.08,8.0,7.83,7.83,7.75,7.83,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-09,1550.0,Arabica,7.886666666666666
Taiwan,1,6,2025,2025-09-12,Washed/Wet,7.92,8.0,7.83,7.92,7.75,7.92,10.0,10.0,10.0,0.116,0,0,Green,0,2026-09-12,600.0,Arabica,7.890000000000001
Thailand,1,10,2024,2024-10-29,Natural/Dry,8.0,8.0,7.92,7.83,7.83,7.83,10.0,10.0,10.0,0.094,0,0,Yellow-Green,0,2025-10-29,1200.0,Arabica,7.901666666666666
Kenya,150,60,2025,2025-03-18,Washed/Wet,8.0,8.0,7.58,7.83,7.92,7.92,10.0,10.0,10.0,0.111,0,0,Green,5,2026-03-18,1975.0,Arabica,7.875
Kenya,960,60,2025,2025-01-21,Washed/Wet,8.0,7.92,7.75,7.75,7.83,8.0,10.0,10.0,10.0,0.11,0,0,Green,1,2026-01-21,1950.0,Arabica,7.875
Ethiopia,840,60,2024,2025-09-26,Natural/Dry,7.92,8.0,7.75,7.92,7.92,7.83,10.0,10.0,10.0,0.102,0,0,Green,2,2026-09-26,2000.0,Arabica,7.890000000000001
Taiwan,1,6,2024,2025-09-12,Natural/Dry,7.92,8.0,7.83,7.83,7.75,7.83,10.0,10.0,10.0,0.122,0,0,Yellow,1,2026-09-12,300.0,Arabica,7.859999999999999
Taiwan,1,8,2024,2024-10-29,Natural/Dry,8.0,7.92,7.67,7.92,7.75,8.0,10.0,10.0,10.0,0.104,0,1,Yellow-Green,0,2025-10-29,600.0,Arabica,7.876666666666666
Thailand,2,10,2023,2024-11-07,Washed/Wet,7.92,8.0,7.83,7.92,7.83,7.75,10.0,10.0,10.0,0.095,0,0,,0,2025-11-07,1350.0,Arabica,7.875
Vietnam,1,2,2025,2025-06-30,Natural/Dry,8.08,7.83,7.75,7.83,7.83,7.92,10.0,10.0,10.0,0.113,0,0,Green,1,2026-06-30,550.0,Arabica,7.873333333333334
Kenya,88,60,2025,2025-03-25,Washed/Wet,7.83,7.75,7.83,8.08,7.83,7.92,10.0,10.0,10.0,0.11,0,0,Green,1,2026-03-25,1975.0,Arabica,7.873333333333334
Kenya,600,30,2025,2025-02-25,Washed/Wet,8.08,7.83,7.75,7.67,8.0,7.83,10.0,10.0,10.0,0.11,0,0,Green,2,2026-02-25,1700.0,Arabica,7.859999999999999
